distance_km,duration_min,vehicle_type,make,model,vehicle_year,seats,fuel_type,nominal_l_per_100km,allowed_load_kg,passengers,load_kg,traffic_band,weather,ac_used,urban_share,highway_share,actual_liters
332.7,387.3,Bus,Mercedes,Sprinter,2018,18,Petrol,18.2,1500,3,716.8,Low,Clear,0,0.29,0.71,66.91
315.7,478.8,Bus,Toyota,Coaster,2018,22,Petrol,16.1,2000,11,140.6,Medium,Clear,1,0.82,0.18,66.62
90.6,214.8,Van,Toyota,Hiace,2025,12,Diesel,11.8,1100,5,1084.0,Low,Clear,1,0.34,0.66,13.28
77.7,140.5,Bus,Toyota,Coaster,2019,18,Diesel,17.3,1500,18,279.1,Medium,Clear,0,0.8,0.2,17.02
68.6,155.2,Bus,Toyota,Coaster,2023,22,Petrol,17.6,2000,18,330.0,High,Rain,1,0.41,0.59,19.16
176.2,220.7,Car,Hyundai,Elantra,2017,4,Diesel,8.0,500,3,486.1,Low,Clear,1,0.75,0.25,17.89
392.4,633.6,Bus,Isuzu,Bus,2017,30,Petrol,19.8,1500,20,254.7,Medium,Hot,0,0.61,0.39,98.86
345.8,691.0,Car,Hyundai,Elantra,2024,4,Petrol,6.2,500,2,147.2,High,Rain,0,0.89,0.11,32.47
105.0,176.4,Bus,Toyota,Coaster,2019,40,Diesel,19.3,2000,15,714.4,Low,Clear,0,0.29,0.71,23.37
215.3,239.4,Bus,Toyota,Coaster,2025,22,Petrol,16.8,3000,7,131.3,High,Rain,1,0.46,0.54,52.5
89.6,134.5,Car,Nissan,Sunny,2019,5,Petrol,8.0,400,3,195.8,Low,Rain,0,0.14,0.86,9.2
173.6,161.8,Van,Hyundai,H1,2018,14,Petrol,9.4,900,13,710.9,Medium,Rain,1,0.23,0.77,22.68
75.1,73.0,Bus,Toyota,Coaster,2024,18,Petrol,13.4,2000,6,100.9,Low,Hot,1,0.2,0.8,12.43
111.2,177.6,Car,Nissan,Sunny,2021,5,Petrol,8.3,400,3,193.7,Low,Clear,1,0.63,0.37,11.12
75.2,94.8,Van,Toyota,Hiace,2020,12,Petrol,12.0,700,10,689.0,High,Clear,1,0.89,0.11,12.87
310.9,312.0,Car,Kia,Cerato,2019,5,Diesel,7.5,600,3,545.1,Low,Clear,1,0.8,0.2,27.69
247.8,257.2,Car,Nissan,Sunny,2018,5,Petrol,7.4,400,2,183.3,Low,Windy,1,0.86,0.14,24.86
417.0,710.8,Car,Toyota,Corolla,2018,5,Petrol,8.0,500,2,443.1,Low,Hot,1,0.77,0.23,44.78
370.1,356.4,Van,Toyota,Hiace,2020,14,Diesel,9.4,900,11,190.0,Medium,Windy,0,0.92,0.08,42.37
270.5,424.8,Car,Toyota,Corolla,2017,5,Petrol,6.4,500,4,311.0,High,Clear,1,0.86,0.14,24.73
282.3,316.9,Bus,Isuzu,Bus,2021,22,Petrol,15.5,1500,10,618.4,High,Rain,1,0.44,0.56,63.9
376.0,593.6,Bus,Isuzu,Bus,2024,22,Diesel,17.3,2000,19,735.9,Medium,Rain,1,0.48,0.52,85.73
105.0,191.1,Car,Kia,Cerato,2020,5,Petrol,6.2,400,2,393.9,High,Clear,1,0.45,0.55,9.71
102.4,122.8,Van,Toyota,Hiace,2022,10,Diesel,11.1,700,8,54.1,Low,Clear,1,0.21,0.79,12.44
335.9,446.2,Bus,Isuzu,Bus,2018,40,Diesel,18.8,3000,16,1011.0,Medium,Rain,0,0.33,0.67,76.49
319.4,702.3,Bus,Mercedes,Sprinter,2018,22,Petrol,14.1,2000,18,569.8,Low,Hot,1,0.43,0.57,58.53
337.6,428.7,Van,Toyota,Hiace,2024,12,Diesel,9.7,900,4,449.6,Medium,Rain,1,0.12,0.88,43.07
42.4,84.1,Bus,Isuzu,Bus,2016,18,Diesel,19.3,3000,6,79.3,Medium,Windy,0,0.49,0.51,9.79
294.3,314.8,Car,Nissan,Sunny,2019,4,Petrol,7.9,400,1,380.9,Low,Clear,0,0.3,0.7,26.53
351.1,663.6,Bus,Toyota,Coaster,2017,30,Petrol,14.2,3000,19,50.3,Medium,Rain,1,0.9,0.1,67.96
35.7,44.9,Bus,Mercedes,Sprinter,2021,18,Petrol,15.4,2000,14,990.4,Low,Rain,1,0.64,0.36,7.61
148.4,275.4,Van,Ford,Transit,2020,14,Diesel,10.4,1100,5,972.2,Low,Rain,1,0.39,0.61,20.69
9.5,15.6,Van,Hyundai,H1,2024,12,Petrol,12.0,1100,12,458.9,High,Hot,1,0.65,0.35,1.69
241.3,351.6,Bus,Mercedes,Sprinter,2024,30,Petrol,17.6,2000,11,435.1,Medium,Windy,1,0.31,0.69,50.5
439.6,554.7,Car,Hyundai,Elantra,2025,4,Petrol,7.8,500,1,419.7,Medium,Hot,1,0.25,0.75,43.04
260.5,354.9,Van,Ford,Transit,2016,10,Petrol,11.1,900,3,869.6,Medium,Rain,0,0.8,0.2,41.64
345.2,420.9,Car,Hyundai,Elantra,2024,5,Diesel,6.2,400,2,314.8,Medium,Rain,1,0.35,0.65,30.8
122.8,268.1,Bus,Isuzu,Bus,2019,18,Petrol,19.6,1500,18,108.6,Low,Rain,1,0.69,0.31,30.84
194.2,256.6,Van,Toyota,Hiace,2019,10,Diesel,12.2,1100,5,912.8,Low,Clear,0,0.77,0.23,28.5
199.8,258.2,Van,Ford,Transit,2023,14,Petrol,12.3,1100,12,368.1,Medium,Clear,0,0.29,0.71,29.01
85.8,121.1,Bus,Mercedes,Sprinter,2020,22,Petrol,16.3,3000,16,1163.5,Medium,Windy,1,0.38,0.62,18.77
44.2,80.8,Van,Ford,Transit,2023,14,Diesel,11.8,1100,13,456.5,High,Clear,1,0.45,0.55,6.81
397.0,514.6,Van,Toyota,Hiace,2023,10,Petrol,9.6,700,10,563.5,High,Hot,1,0.57,0.43,58.74
189.9,260.7,Car,Hyundai,Elantra,2020,5,Diesel,8.3,500,4,284.6,Medium,Hot,0,0.83,0.17,20.07
390.0,536.0,Car,Kia,Cerato,2023,5,Petrol,8.1,600,3,340.1,High,Rain,1,0.89,0.11,53.47
225.4,524.7,Car,Kia,Cerato,2018,5,Petrol,7.8,500,5,179.4,Low,Rain,0,0.55,0.45,21.49
384.0,390.1,Car,Nissan,Sunny,2017,5,Diesel,6.8,600,4,573.4,High,Rain,0,0.62,0.38,38.97
149.3,339.4,Car,Toyota,Corolla,2016,5,Diesel,6.4,500,4,89.9,High,Rain,0,0.24,0.76,12.54
301.7,293.2,Bus,Mercedes,Sprinter,2020,22,Diesel,16.2,2000,10,819.6,Low,Clear,1,0.9,0.1,64.48
110.6,150.2,Van,Hyundai,H1,2017,12,Petrol,9.3,900,12,279.8,High,Rain,1,0.11,0.89,16.27
284.6,281.3,Car,Kia,Cerato,2018,4,Diesel,7.6,600,3,477.4,Low,Windy,0,0.18,0.82,24.49
337.2,510.6,Van,Ford,Transit,2020,12,Diesel,11.8,900,2,143.9,Low,Rain,1,0.18,0.82,48.0
305.3,416.8,Bus,Isuzu,Bus,2017,30,Diesel,17.1,3000,18,407.0,High,Hot,0,0.64,0.36,72.26
399.8,787.5,Car,Toyota,Corolla,2019,5,Diesel,8.5,400,5,179.3,High,Hot,1,0.66,0.34,54.21
441.5,665.4,Bus,Toyota,Coaster,2017,22,Diesel,16.1,1500,21,443.2,Medium,Windy,0,0.92,0.08,99.29
355.2,648.3,Bus,Isuzu,Bus,2018,18,Petrol,13.4,2000,18,264.4,Low,,1,0.76,0.24,63.05
164.4,182.8,Bus,Toyota,Coaster,2016,22,Diesel,13.8,1500,1,225.6,Low,Hot,1,0.55,0.45,29.78
139.2,160.6,Bus,Mercedes,Sprinter,2024,40,Petrol,16.5,3000,31,1019.8,Medium,Clear,1,0.71,0.29,29.13
206.9,245.1,Car,Kia,Cerato,2020,5,Diesel,7.0,600,1,514.6,High,Hot,1,0.48,0.52,21.27
429.3,477.6,Bus,Mercedes,Sprinter,2021,30,Petrol,16.0,3000,3,1001.5,Low,Rain,0,0.73,0.27,82.07
435.9,516.6,Bus,Toyota,Coaster,2016,18,Diesel,15.9,3000,17,271.0,High,Rain,0,0.82,0.18,99.7
17.9,52.9,Car,Nissan,Sunny,2020,4,Petrol,7.5,600,3,223.6,Low,Hot,1,0.16,0.84,1.68
350.7,423.5,Van,Hyundai,H1,2021,14,Diesel,9.9,900,1,156.9,High,Clear,0,0.33,0.67,44.17
221.6,247.8,Car,Toyota,Corolla,2025,5,Petrol,7.1,500,4,492.5,Low,Clear,0,0.36,0.64,17.08
242.0,429.7,Car,Toyota,Corolla,2022,5,Diesel,7.9,400,3,47.4,High,Clear,1,0.12,0.88,26.38
81.5,88.8,Bus,Isuzu,Bus,2021,40,Diesel,15.0,2000,24,124.0,Low,Hot,1,0.6,0.4,14.85
91.3,105.2,Van,Toyota,Hiace,2024,8,Petrol,10.5,700,3,180.7,Low,Windy,0,0.25,0.75,9.9
148.8,142.9,Van,Ford,Transit,2025,14,Petrol,11.2,1100,8,93.7,Medium,Windy,1,0.6,0.4,20.9
230.6,320.8,Car,Kia,Cerato,2025,5,Petrol,6.2,400,1,190.9,High,Hot,1,0.61,0.39,21.28
238.2,286.6,Bus,Isuzu,Bus,2023,22,Diesel,13.3,3000,10,477.2,Medium,Clear,1,0.16,0.84,35.34
435.6,477.9,Car,Kia,Cerato,2020,4,Petrol,7.5,400,1,137.6,Medium,Windy,0,0.67,0.33,42.97
90.4,86.4,Van,Toyota,Hiace,2023,12,Diesel,9.7,700,5,594.2,Low,Clear,1,0.84,0.16,11.24
